frame_number,row,text
6990,2,no matches
7020,0,2 hydra.png killed 1 kenny.png
7020,1,no matches
7020,2,no matches
7050,0,no matches
7050,1,no matches
7050,2,no matches
7080,0,no matches
7080,1,no matches
7080,2,no matches
7110,0,no matches
7110,1,no matches
7110,2,no matches
7140,0,2 hydra.png killed 1 kenny.png
7140,1,no matches
7140,2,no matches
7170,0,no matches
7170,1,no matches
7170,2,no matches
7200,0,2 hydra.png killed 1 shotzzy.png
7200,1,no matches
7200,2,no matches
7230,0,no matches
7230,1,no matches
7230,2,no matches
7260,0,no matches
7260,1,2 scrap.png killed 1 pred.png
7260,2,no matches
7290,0,no matches
7290,1,no matches
7290,2,no matches
7320,0,no matches
7320,1,no matches
7320,2,no matches
7350,0,no matches
7350,1,no matches
7350,2,no matches
7380,0,no matches
7380,1,no matches
7380,2,no matches
7410,0,no matches
7410,1,no matches
7410,2,no matches
7440,0,no matches
7440,1,no matches
7440,2,no matches
7470,0,1 dashy.png killed 2 envoy.png
7470,1,1 dashy.png killed 2 scrap.png
7470,2,no matches
7500,0,1 dashy.png killed 2 envoy.png
7500,1,1 dashy.png killed 2 scrap.png
7500,2,no matches
7530,0,no matches
7530,1,no matches
7530,2,no matches
7560,0,1 dashy.png killed 2 envoy.png
7560,1,no matches
7560,2,no matches
7590,0,2 hydra.png killed 1 dashy.png
7590,1,no matches
7590,2,no matches
7620,0,no matches
7620,1,no matches
7620,2,no matches
7650,0,2 hydra.png killed 1 dashy.png
7650,1,no matches
7650,2,no matches
7680,0,no matches
7680,1,no matches
7680,2,no matches
7710,0,2 hydra.png killed 1 dashy.png
7710,1,no matches
7710,2,no matches
7740,0,2 hydra.png killed 1 dashy.png
7740,1,no matches
7740,2,no matches
7770,0,1 pred.png killed 2 ghosty.png
7770,1,2 hydra.png killed 1 dashy.png
7770,2,no matches
7800,0,1 pred.png killed 2 ghosty.png
7800,1,2 hydra.png killed 1 dashy.png
7800,2,no matches
7830,0,1 pred.png killed 2 ghosty.png
7830,1,2 hydra.png killed 1 dashy.png
7830,2,no matches
7860,0,1 pred.png killed 2 ghosty.png
7860,1,2 hydra.png killed 1 dashy.png
7860,2,no matches
7890,0,1 pred.png killed 2 ghosty.png
7890,1,2 hydra.png killed 1 dashy.png
7890,2,no matches
7920,0,1 pred.png killed 2 ghosty.png
7920,1,no matches
7920,2,no matches
7950,0,1 pred.png killed 2 ghosty.png
7950,1,no matches
7950,2,no matches
7980,0,1 pred.png killed 2 ghosty.png
7980,1,no matches
7980,2,no matches
8010,0,1 pred.png killed 2 ghosty.png
8010,1,no matches
8010,2,no matches
8040,0,1 pred.png killed 2 ghosty.png
8040,1,no matches
8040,2,no matches
8070,0,no matches
8070,1,no matches
8070,2,no matches
8100,0,no matches
8100,1,no matches
8100,2,no matches
8130,0,no matches
8130,1,no matches
8130,2,no matches
8160,0,no matches
8160,1,no matches
8160,2,no matches
8190,0,no matches
8190,1,no matches
8190,2,no matches
8220,0,2 envoy.png killed 1 pred.png
8220,1,no matches
8220,2,no matches
8250,0,no matches
8250,1,no matches
8250,2,no matches
8280,0,no matches
8280,1,no matches
8280,2,no matches
8310,0,no matches
8310,1,no matches
8310,2,no matches
8340,0,no matches
8340,1,no matches
8340,2,no matches
8370,0,no matches
8370,1,no matches
8370,2,no matches
8400,0,no matches
8400,1,1 pred.png killed 2 scrap.png
8400,2,no matches
8430,0,1 dashy.png killed 2 scrap.png
8430,1,no matches
8430,2,no matches
8460,0,1 dashy.png killed 2 scrap.png
8460,1,2 scrap.png killed 1 kenny.png
8460,2,no matches
8490,0,no matches
8490,1,no matches
8490,2,no matches
8520,0,1 dashy.png killed 2 scrap.png
8520,1,2 scrap.png killed 1 kenny.png
8520,2,no matches
8550,0,no matches
8550,1,2 scrap.png killed 1 kenny.png
8550,2,no matches
8580,0,1 dashy.png killed 2 scrap.png
8580,1,2 scrap.png killed 1 kenny.png
8580,2,no matches
8610,0,2 hydra.png killed 1 dashy.png
8610,1,1 dashy.png killed 2 scrap.png
8610,2,no matches
8640,0,2 hydra.png killed 1 dashy.png
8640,1,1 dashy.png killed 2 scrap.png
8640,2,no matches
8670,0,no matches
8670,1,1 dashy.png killed 2 scrap.png
8670,2,no matches
8700,0,2 hydra.png killed 1 dashy.png
8700,1,no matches
8700,2,no matches
8730,0,2 hydra.png killed 1 dashy.png
8730,1,no matches
8730,2,no matches
8760,0,no matches
8760,1,no matches
8760,2,no matches
8790,0,2 ghosty.png killed 1 pred.png
8790,1,no matches
8790,2,no matches
8820,0,no matches
8820,1,no matches
8820,2,no matches
8850,0,2 ghosty.png killed 1 pred.png
8850,1,2 hydra.png killed 1 dashy.png
8850,2,no matches
8880,0,2 ghosty.png killed 1 pred.png
8880,1,no matches
8880,2,no matches
8910,0,2 ghosty.png killed 1 pred.png
8910,1,2 hydra.png killed 1 dashy.png
8910,2,no matches
8940,0,2 ghosty.png killed 1 pred.png
8940,1,no matches
8940,2,no matches
8970,0,2 ghosty.png killed 1 pred.png
8970,1,no matches
8970,2,no matches
9000,0,no matches
9000,1,no matches
9000,2,no matches
9030,0,no matches
9030,1,no matches
9030,2,no matches
9060,0,no matches
9060,1,no matches
9060,2,no matches
9090,0,1 kenny.png killed 2 envoy.png
9090,1,2 ghosty.png killed 1 dashy.png
9090,2,no matches
9120,0,1 kenny.png killed 2 envoy.png
9120,1,2 ghosty.png killed 1 dashy.png
9120,2,no matches
9150,0,1 kenny.png killed 2 envoy.png
9150,1,2 ghosty.png killed 1 dashy.png
9150,2,no matches
9180,0,no matches
9180,1,no matches
9180,2,no matches
9210,0,1 shotzzy.png killed 2 ghosty.png
9210,1,no matches
9210,2,no matches
9240,0,1 shotzzy.png killed 2 ghosty.png
9240,1,1 kenny.png killed 2 envoy.png
9240,2,no matches
9270,0,no matches
9270,1,no matches
9270,2,no matches
9300,0,no matches
9300,1,no matches
9300,2,no matches
9330,0,no matches
9330,1,no matches
9330,2,no matches
9360,0,1 shotzzy.png killed 2 ghosty.png
9360,1,1 kenny.png killed 2 envoy.png
9360,2,no matches
9390,0,1 shotzzy.png killed 2 ghosty.png
9390,1,1 kenny.png killed 2 envoy.png
9390,2,no matches
9420,0,1 shotzzy.png killed 2 ghosty.png
9420,1,no matches
9420,2,no matches
9450,0,1 shotzzy.png killed 2 ghosty.png
9450,1,no matches
9450,2,no matches
9480,0,1 shotzzy.png killed 2 ghosty.png
9480,1,no matches
9480,2,no matches
9510,0,no matches
9510,1,no matches
9510,2,no matches
9540,0,no matches
9540,1,no matches
9540,2,no matches
9570,0,no matches
9570,1,no matches
9570,2,no matches
9600,0,no matches
9600,1,no matches
9600,2,no matches
9630,0,no matches
9630,1,no matches
9630,2,no matches
9660,0,no matches
9660,1,no matches
9660,2,no matches
9690,0,no matches
9690,1,1 shotzzy.png killed 2 envoy.png
9690,2,no matches
9720,0,no matches
9720,1,no matches
9720,2,no matches
9750,0,no matches
9750,1,1 dashy.png killed 2 scrap.png
9750,2,no matches
9780,0,no matches
9780,1,1 dashy.png killed 2 scrap.png
9780,2,no matches
9810,0,no matches
9810,1,no matches
9810,2,no matches
9840,0,2 ghosty.png killed 1 shotzzy.png
9840,1,1 dashy.png killed 2 scrap.png
9840,2,no matches
9870,0,2 ghosty.png killed 1 shotzzy.png
9870,1,1 dashy.png killed 2 scrap.png
9870,2,no matches
9900,0,no matches
9900,1,1 dashy.png killed 2 scrap.png
9900,2,no matches
9930,0,no matches
9930,1,no matches
9930,2,no matches
9960,0,2 ghosty.png killed 1 shotzzy.png
9960,1,no matches
9960,2,no matches
9990,0,2 ghosty.png killed 1 shotzzy.png
9990,1,no matches
9990,2,no matches
10020,0,no matches
10020,1,no matches
10020,2,no matches
10050,0,no matches
10050,1,no matches
10050,2,no matches
10080,0,no matches
10080,1,no matches
10080,2,no matches
10110,0,no matches
10110,1,no matches
10110,2,no matches
10140,0,no matches
10140,1,no matches
10140,2,no matches
10170,0,no matches
10170,1,no matches
10170,2,no matches
10200,0,2 ghosty.png killed 1 pred.png
10200,1,2 hydra.png killed 1 dashy.png
10200,2,no matches
10230,0,no matches
10230,1,no matches
10230,2,no matches
10260,0,2 envoy.png killed 1 kenny.png
10260,1,no matches
